fiveminute	AK	AL	AR	AZ	CA	CO	CT	DC	DE	FL	GA	HI	IA	ID	IL	IN	KS	KY	LA	MA	MD	ME	MI	MN	MO	MS	MT	NC	ND	NE	NH	NJ	NM	NV	NY	OH	OK	OR	PA	RI	SC	SD	TN	TX	UT	VA	VT	WA	WI	WV	WY
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3576855720013136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4141308056997651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.0	8.202895895681038	1.8664365557775233	0.0	2.136342931871261	1.9978218484426058	1.3493762604620032	3.0637707163123786	0.0	6.542418863102066	2.2259530806362373	2.1169472209775355	5.027605143383708	2.6023148892096963	0.0	1.8640407510375523	1.6826431080315003	2.079070516874256	1.5980221052114925	2.6076225588035187	8.726864780540415	1.3594892263027858	9.780377853613324	2.023603308996131	1.1154201443762655	0.0	0.0	0.0	1.3330499064147694	0.0	3.77251721210978	5.300147344096166	2.0305507643331504	0.0	0.0	4.547716558302416	1.9923381604222024	2.097084528234622	1.7951696089069136	1.0968747218639099	8.56904556066313	0.0	0.0	2.013554942092483	1.8419596332243928	0.0	3.0540442447941065	0.0	2.899806466916398	0.0	0.0	0.0
9.0	0.0	1.2442910371850155	0.0	1.2207673896407205	0.814901017127905	0.0	0.0	0.0	0.0	0.9835606635369422	0.6048420631364387	0.0	0.0	0.0	0.8543520108922115	0.0	2.079070516874256	0.0	0.0	1.8055582304566378	0.0	0.0	0.0	1.1154201443762655	0.0	0.0	0.0	0.6152538029606628	0.0	0.0	0.0	1.2408921337591474	0.0	0.0	1.6351340434345765	0.8662339827922619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6523607034336392	0.0	0.0	0.0	1.7398838801498389	1.2224089209307492	0.0	0.0
10.0	0.0	0.0	0.0	0.0	0.3154455550172536	1.1566082232531456	0.0	0.0	0.0	0.3105981042748238	0.8064560841819184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9027791152283189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.902467006370289	0.0	0.0	1.0730567160039408	0.7796105845130358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42211574928059004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11.0	0.0	0.0	0.0	0.0	0.2628712958477113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9027791152283189	0.0	0.0	0.7082611581486458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45988144971597467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2686191131785573	0.0	0.0	0.0	0.0	0.0	0.0	0.0
